x|y|output1_output2_output_n 
3|3|3_4_70_28_13_29_14
3|13|16_3_4_70_28_13_29_14_31
3|16|16_17_3_4_70_28_76_13_29_14
3|11|33_3_4_6_70_7_9_11_12_13_14_16_20_29_61_31
3|6|16_3_4_68_5_6_70_7_28_13_29_14
3|12|32_1_2_3_4_5_70_12_13_14_50_20_60_29
3|19|3_19_4_20_70_28_13_29_14
3|29|16_3_4_5_70_44_29_13_30_14
3|38|1_2_3_4_68_5_38_70_7_74_13_46_14_16_50_29_61
3|48|1_2_3_99_4_70_13_46_14_48_50_58_29
3|74|16_17_66_3_4_70_74_13_29_14
3|26|2_3_4_68_69_70_7_10_13_14_16_50_26_27_29_61
3|40|3_4_5_6_70_7_40_13_14_16_17_20_29
3|39|35_3_4_68_5_38_70_39_7_10_45_13_14_16_19_20_60_29_61
3|71|65_66_3_68_4_5_69_70_38_71_7_10_76_13_14_16_17_50_27_28_60_29_61_31
3|68|3_68_4_5_69_70_7_10_13_45_14_16_50_20_27_28_60_29_61_31
3|31|32_1_3_4_70_7_40_44_13_45_14_48_16_50_20_59_60_29_31
3|28|34_3_4_5_70_28_76_13_29_14
3|51|1_34_3_99_4_70_40_10_44_13_45_14_48_49_50_51_59_60_29_61
3|9|3_35_4_70_9_10_13_29_14
3|20|1_3_99_4_70_44_13_14_50_20_21_22_59_29
3|65|65_1_2_3_4_68_69_5_70_7_10_13_14_16_20_29_31_35_38_44_50_58_59_60_61
3|70|3_4_70_39_10_13_29_61_62_14
3|66|65_66_2_3_4_68_69_5_70_7_10_13_14_16_17_20_27_28_29_31_40_47_50_59_60_61
3|17|16_17_18_3_4_68_70_7_26_13_29_14
3|46|2_3_35_4_5_69_70_39_8_10_44_13_46_14_50_59_27_29_61
3|62|16_3_4_70_55_13_29_62_14
3|27|16_3_4_70_27_28_76_13_29_14
3|37|3_35_4_37_5_70_10_28_13_29_61_14
3|30|16_66_3_4_68_70_13_29_61_30_14_31
3|49|16_49_17_3_99_4_70_13_29_14_47
3|5|16_3_4_20_5_6_70_7_28_13_29_14
3|50|48_1_50_3_4_70_59_44_13_29_14
3|69|65_66_3_4_68_69_5_70_6_71_7_8_76_13_14_16_17_19_20_28_29_30_31_32_38_44_61
3|44|65_35_3_4_5_70_39_42_44_13_14_16_50_28_29
3|32|32_33_3_99_4_70_10_13_29_14
3|58|16_3_51_99_4_5_70_58_13_29_14_31
3|8|3_4_68_6_70_7_8_9_13_14_16_29_31
3|21|3_99_4_21_22_70_10_13_29_14
3|73|65_66_3_4_68_5_69_6_70_71_7_73_10_76_13_14_16_17_27_28_29_30_38_44_47_50_60_61
3|34|16_34_50_35_3_4_70_13_29_14
3|47|65_3_35_4_5_70_39_45_13_14_47_28_29_61
3|7|1_3_4_68_70_7_8_10_44_13_45_14_16_51_59_61_29
3|25|16_3_4_70_25_26_13_29_14
3|10|3_99_4_70_10_26_11_13_29_61_14
3|4|16_3_4_5_70_13_29_14
3|15|16_3_4_70_13_29_14_15
3|55|1_2_3_4_68_69_70_7_10_13_14_16_20_27_29_32_99_44_46_48_50_55_59_60_61
3|18|16_18_3_19_4_5_70_28_13_29_14
3|22|3_99_4_22_70_23_13_29_14
3|76|16_3_4_68_70_7_76_13_29_14
2|3|16_2_3_4_5_70_13_29_14_31
2|13|16_2_3_4_5_70_13_29_14_31
2|16|16_17_2_3_4_5_28_76_29_13_14_31
2|11|33_2_3_4_5_6_7_39_9_11_12_13_14_16_20_29_61_31
2|6|2_3_68_4_5_6_7_13_14_16_28_29_31
2|12|32_1_2_3_4_5_12_13_14_16_50_20_60_29_31
2|19|16_2_19_3_20_4_5_29_13_14_31
2|29|16_2_3_4_5_44_29_13_30_14_31
